PLD (Å),LCD (Å),Sacc (m2/g-1),φ,NCO2 at 1 bar (mol/kg)
7.57497,8.18381,1044.51001,0.50914,0.3070523178
14.57249,14.91078,1506.82996,0.63036,0.6991960305
21.06635,21.37339,1989.25,0.71635,0.2879380761
12.36421,12.71087,1272.20996,0.57985,0.5777611298
24.64043,24.84212,1538.44995,0.72837,0.5802498465
36.44792,36.62567,2082.1499,0.81324,0.316593813
11.62102,12.05791,1695.35999,0.62837,0.2562253309
24.29876,24.85702,4905.41992,0.86639,4.2509335603
24.81518,25.07846,2244.46997,0.7598,0.3007033709
38.04305,38.19773,2399.87988,0.82307,0.2162820885
13.28883,13.57896,3916.44995,0.76002,2.8338364548
30.76962,30.9719,2415.06006,0.80164,0.2110734461
16.50094,16.85758,6083.66992,0.79999,2.0196727245
11.58813,12.00768,1495.90002,0.61646,0.4454580584
17.58148,17.83307,2045.18005,0.69869,0.3387549883
18.99929,19.28654,1973.06995,0.70872,0.1964815364
27.51509,27.7276,2205.48999,0.75964,0.4376930291
8.24197,9.93956,4897.37012,0.7997,0.7830369888
23.542,23.77902,1892.87,0.729,0.2682981387
4.4389,5.57979,1898.06995,0.62632,4.1703933836
29.5867,29.76499,2066.01001,0.78345,0.2216724993
28.13916,28.40894,1988.83997,0.76277,0.1338323921
14.94592,15.43792,1651.31995,0.64708,0.1487977883
8.77028,9.30995,1081.20996,0.52257,0.3893095029
20.88935,21.15732,1578.71997,0.6936,0.4797613677
18.74247,19.03732,2020.80005,0.71504,0.2366183497
16.38321,16.69169,1676.73999,0.64405,0.2926984681
27.93603,28.36879,4464.77002,0.87336,0.7789548433
22.59156,22.84761,1797.48999,0.74526,0.3825402983
27.09128,27.2649,2301.09009,0.77957,0.2690097398
12.65159,13.08543,2429.46997,0.73592,0.2480231384
4.47493,4.72831,548.55499,0.44152,1.4558994923
18.74906,19.01356,1250.66003,0.65563,0.0887289301
16.10076,16.34232,1978.14001,0.64396,1.2164915584
20.70572,20.83582,2145.6001,0.7336,0.2924102597
19.56542,19.82916,1862.77002,0.70218,0.470743094
15.56387,15.8315,1903.48999,0.63037,1.4109532374
16.95967,17.26725,2094.8501,0.67586,0.5139384563
18.7193,18.98333,1250.22998,0.65552,0.0881356696
20.37757,20.70945,2432.20996,0.75802,0.2826122201
23.7649,24.00488,2335.23999,0.76087,0.2491364922
13.21513,13.58611,1387.30005,0.58393,0.2741465703
14.93228,15.42068,2083.06006,0.68401,0.3771971882
16.79646,17.19289,2114.07007,0.70527,0.329368742
8.11322,8.37051,1281.01001,0.5404,0.9502680914
28.33863,28.48026,2034.71997,0.7628,0.6751033691
34.66495,34.74847,2040.41003,0.79378,0.3382601824
28.21856,28.36846,2078.56006,0.76298,0.6088749644
22.55143,22.78255,2096.11011,0.71241,0.565177114
19.29739,19.60248,2113.45996,0.71565,0.2769126632
18.29271,18.80244,1992.07996,0.70602,0.2279569649
10.36487,10.81315,1412.91003,0.58206,0.4492306381
14.74722,15.09602,1866.30005,0.67714,0.3887771832
8.8773,9.10983,2752.65991,0.69732,1.0388608896
16.90565,17.16309,2328.71997,0.73315,0.6983874992
10.31186,10.74049,1383.64001,0.58599,0.2397801069
28.42066,28.5848,2015.31006,0.75785,0.3990194347
10.29935,10.74822,1360.73999,0.58752,0.3686632369
11.68196,12.07255,1561.03003,0.59834,0.4779144629
21.85306,22.19192,2624.06006,0.74832,0.4318570289
16.55631,16.69084,2356.3501,0.72162,0.3840459926
19.83084,20.07417,2064.55005,0.73589,0.6423056227
25.47826,25.67443,1828.65002,0.75441,1.6866626563
32.98954,33.17197,2545.82007,0.82105,0.4089319012
28.52823,28.71349,1758.30005,0.74683,0.4311417266
29.53836,29.71939,2011.66003,0.77171,0.2440277025
11.16409,11.52835,4582.31982,0.77138,2.3616577131
36.35398,36.5559,1944.97998,0.76718,0.1451953055
27.81985,28.02682,1583.65002,0.69526,0.1583652052
15.82205,16.15913,1712.34998,0.66969,0.4230434715
21.35269,21.60545,1381.81995,0.68136,0.3253045813
28.2693,28.47879,2360.20996,0.78886,0.3751400784
41.07724,41.24383,1907.06006,0.80898,0.2955634568
19.92352,20.13649,2879.78003,0.77849,1.9951718561
44.50286,44.62077,1887.98999,0.83009,0.3556838553
17.09611,17.39366,1659.09998,0.67767,0.3751713862
16.26602,16.67361,2131.90991,0.70402,0.2501403471
15.36758,15.76388,1810.34998,0.68822,0.5225402717
14.96924,15.41147,1938.79004,0.66975,0.3920650761
14.55347,15.19586,2288.90991,0.71468,0.4339036184
15.85733,16.11386,1812.71997,0.68801,0.604341762
19.25408,20.34648,4395.37012,0.8146,1.097921379
14.94037,15.46864,2814.65991,0.70043,0.4548498554
31.3507,31.51253,2261.34009,0.79155,0.2263259502
11.97745,12.44176,4658.93994,0.77395,2.1201078409
28.1713,28.37474,2246.47998,0.77384,0.3779405039
26.34024,26.55682,2243.38989,0.75736,0.2722479428
29.81255,30.06839,2373.1001,0.80377,0.2723155555
29.49294,29.80022,2957.13989,0.83203,0.2310625641
25.37122,25.53746,1749.21997,0.70203,0.2608839156
22.0542,22.18069,1704.53003,0.71753,0.199008931
17.73555,18.05831,1334.54004,0.63922,0.1489435563
21.15099,21.41237,1516.95996,0.69367,0.3402553103
20.68944,20.97455,1843.23999,0.7138,0.3345683113
18.03681,18.36341,1882.62,0.67832,0.2523423599
22.64663,22.85845,1715.53003,0.71193,0.4394668084
20.88746,21.0995,1407.05005,0.68956,0.2535755143
20.64125,20.89313,1643.22998,0.71912,0.7873203429
22.37432,22.62252,1887.52002,0.73552,0.357404707
7.16577,7.81506,1780.32996,0.59717,2.044380446
10.86359,11.68718,2164.44995,0.65682,1.8689653552
15.87436,16.28451,2134.19995,0.68337,1.5078193476
